equipo_local,equipo_visitante,codigo_local,codigo_visitante,fecha_hora,fase,grupo,estadio,ciudad
México,Sudáfrica,MX,ZA,2026-06-11 15:00:00,Grupos,A,Estadio Azteca,Ciudad de México
República de Corea,Chequia,KR,CZ,2026-06-11 22:00:00,Grupos,A,Estadio Akron,Guadalajara
Canadá,Bosnia y Herzegovina,CA,BA,2026-06-12 15:00:00,Grupos,B,BMO Field,Toronto
Estados Unidos,Paraguay,US,PY,2026-06-12 21:00:00,Grupos,D,SoFi Stadium,Los Ángeles (Inglewood)
Catar,Suiza,QA,CH,2026-06-13 15:00:00,Grupos,B,Levi's Stadium,San Francisco (Santa Clara)
Brasil,Marruecos,BR,MA,2026-06-13 18:00:00,Grupos,C,MetLife Stadium,Nueva York (East Rutherford)
Haití,Escocia,HT,GB-SCT,2026-06-13 21:00:00,Grupos,C,Gillette Stadium,Boston (Foxborough)
Australia,Turquía,AU,TR,2026-06-14 12:00:00,Grupos,D,BC Place,Vancouver
Alemania,Curazao,DE,CW,2026-06-14 13:00:00,Grupos,E,NRG Stadium,Houston
Países Bajos,Japón,NL,JP,2026-06-14 16:00:00,Grupos,F,AT&T Stadium,Dallas (Arlington)
Costa de Marfil,Ecuador,CI,EC,2026-06-14 19:00:00,Grupos,E,Lincoln Financial Field,Filadelfia
Suecia,Túnez,SE,TN,2026-06-14 22:00:00,Grupos,F,Estadio BBVA,Monterrey
España,Cabo Verde,ES,CV,2026-06-15 12:00:00,Grupos,H,Mercedes-Benz Stadium,Atlanta
Bélgica,Egipto,BE,EG,2026-06-15 15:00:00,Grupos,G,Lumen Field,Seattle
Arabia Saudí,Uruguay,SA,UY,2026-06-15 18:00:00,Grupos,H,Hard Rock Stadium,Miami
RI de Irán,Nueva Zelanda,IR,NZ,2026-06-15 21:00:00,Grupos,G,SoFi Stadium,Los Ángeles (Inglewood)
Francia,Senegal,FR,SN,2026-06-16 15:00:00,Grupos,I,MetLife Stadium,Nueva York (East Rutherford)
Irak,Noruega,IQ,NO,2026-06-16 18:00:00,Grupos,I,Gillette Stadium,Boston (Foxborough)
Argentina,Argelia,AR,DZ,2026-06-16 21:00:00,Grupos,J,Arrowhead Stadium,Kansas City
Austria,Jordania,AT,JO,2026-06-17 00:00:00,Grupos,J,Levi's Stadium,San Francisco (Santa Clara)
Portugal,RD Congo,PT,CD,2026-06-17 13:00:00,Grupos,K,NRG Stadium,Houston
