equipo_local,equipo_visitante,codigo_local,codigo_visitante,fecha_hora,fase,grupo,estadio,ciudad
México,Por definir,MX,XX,2026-06-11 20:00:00,Grupos,A,Estadio Azteca,Ciudad de México
Canadá,Por definir,CA,XX,2026-06-12 22:00:00,Grupos,B,BMO Field,Toronto
Estados Unidos,Por definir,US,XX,2026-06-12 20:00:00,Grupos,D,SoFi Stadium,Los Ángeles
Argentina,Por definir,AR,XX,2026-06-13 21:00:00,Grupos,C,MetLife Stadium,New Jersey
Brasil,Por definir,BR,XX,2026-06-14 18:00:00,Grupos,E,Mercedes-Benz Stadium,Atlanta
España,Por definir,ES,XX,2026-06-14 21:00:00,Grupos,F,Lincoln Financial Field,Filadelfia
Francia,Por definir,FR,XX,2026-06-15 18:00:00,Grupos,G,Gillette Stadium,Boston
Inglaterra,Por definir,GB-ENG,XX,2026-06-15 21:00:00,Grupos,H,NRG Stadium,Houston
Alemania,Por definir,DE,XX,2026-06-16 18:00:00,Grupos,I,Hard Rock Stadium,Miami
Portugal,Por definir,PT,XX,2026-06-16 21:00:00,Grupos,J,AT&T Stadium,Dallas
Holanda,Por definir,NL,XX,2026-06-17 18:00:00,Grupos,K,Levi's Stadium,San Francisco
Italia,Por definir,IT,XX,2026-06-17 21:00:00,Grupos,L,Arrowhead Stadium,Kansas City
