equipo_local,equipo_visitante,codigo_local,codigo_visitante,fecha_hora,fase,grupo,estadio,ciudad
México,Por definir,MX,XX,2026-06-11 21:00:00,Grupos,A,Estadio Azteca,Ciudad de México
Canadá,Por definir,CA,XX,2026-06-12 00:00:00,Grupos,B,BMO Field,Toronto
Estados Unidos,Por definir,US,XX,2026-06-12 21:00:00,Grupos,C,SoFi Stadium,Los Ángeles
Uruguay,Por definir,UY,XX,2026-06-13 00:00:00,Grupos,D,MetLife Stadium,Nueva York/Nueva Jersey
Brasil,Por definir,BR,XX,2026-06-13 21:00:00,Grupos,E,Mercedes-Benz Stadium,Atlanta
Argentina,Por definir,AR,XX,2026-06-14 00:00:00,Grupos,F,Hard Rock Stadium,Miami
España,Por definir,ES,XX,2026-06-14 21:00:00,Grupos,G,AT&T Stadium,Dallas
Francia,Por definir,FR,XX,2026-06-15 00:00:00,Grupos,H,Gillette Stadium,Boston
Inglaterra,Por definir,GB-ENG,XX,2026-06-15 21:00:00,Grupos,I,Lincoln Financial Field,Filadelfia
Portugal,Por definir,PT,XX,2026-06-16 00:00:00,Grupos,J,Levi's Stadium,San Francisco
Alemania,Por definir,DE,XX,2026-06-16 21:00:00,Grupos,K,NRG Stadium,Houston
Marruecos,Por definir,MA,XX,2026-06-17 00:00:00,Grupos,L,Arrowhead Stadium,Kansas City
Por definir,Por definir,XX,XX,2026-06-17 21:00:00,Grupos,A,Estadio Azteca,Ciudad de México
Por definir,Por definir,XX,XX,2026-06-18 00:00:00,Grupos,B,BMO Field,Toronto
Por definir,Por definir,XX,XX,2026-06-18 21:00:00,Grupos,C,SoFi Stadium,Los Ángeles
Por definir,Por definir,XX,XX,2026-06-19 00:00:00,Grupos,D,MetLife Stadium,Nueva York/Nueva Jersey
Por definir,Por definir,XX,XX,2026-06-19 21:00:00,Grupos,E,Mercedes-Benz Stadium,Atlanta
Por definir,Por definir,XX,XX,2026-06-20 00:00:00,Grupos,F,Hard Rock Stadium,Miami
Por definir,Por definir,XX,XX,2026-06-20 21:00:00,Grupos,G,AT&T Stadium,Dallas
Por definir,Por definir,XX,XX,2026-06-21 00:00:00,Grupos,H,Gillette Stadium,Boston
Por definir,Por definir,XX,XX,2026-06-21 21:00:00,Grupos,I,Lincoln Financial Field,Filadelfia
Por definir,Por definir,XX,XX,2026-06-22 00:00:00,Grupos,J,Levi's Stadium,San Francisco
Por definir,Por definir,XX,XX,2026-06-22 21:00:00,Grupos,K,NRG Stadium,Houston
